gene	score	LFC	PVAL
rpl36a	-4.981784460278069	0.020914885	0.702586789
pde6h	-4.9750777672525945	1.265868203	1.13e-05
smarce1	-4.860312375329385	0.053697202	0.631114145
egln2	-4.859747761553168	1.258376718	5.57e-09
ptrh2	-4.854257879001313	1.258017234	1.03e-06
rnf10	-4.8396402957384135	0.063213108	0.58719218
igfbp1a	-4.80084038719831	1.254515597	3.49e-11
zgc:136410	-4.777681364653831	0.062474193	0.61011437
txnipb	-4.563261816143792	1.238718344	2.85e-09
c6ast4	-4.548941619093798	1.237742992	2.13e-05
tmed10	-4.544277985932909	0.071853924	0.577186371
zgc:136461	-4.537226637516442	1.236954619	1.88e-05
qkia	-4.477479983607601	0.045651346	0.567647365
eif3d	-4.443942208660197	0.048475429	0.566225885
suclg1	-4.408058147072769	0.074545289	0.569684708
cdkn1d	-4.39695280868874	1.227435267	3.09e-07
cox6a1	-4.301632434835415	0.072523655	0.599329291
rpl5b	-4.298948828722601	0.027748346	0.560775211
eif4a1b	-4.251057577522335	0.043737166	0.666520366
capns1a	-4.1961414421159455	0.08072727	0.578381769
higd1a	-4.149762370442491	1.210299868	4.22e-07
znf292b	-4.13348891091206	1.209155975	1.14e-25
cxcl12b	-4.1331576602053515	0.079167256	0.555630294
dnajc21	-4.098351660974454	1.206676328	4.62e-06
ciarta	-4.057871080034265	1.203812712	2.4e-16
wu:fb55g09	-3.9948995358568657	1.199328634	4.12e-33
brd3b	-3.988081271805168	0.068707662	0.617016894
ppm1g	-3.986560473809377	0.08478906	0.576424464
clic4	-3.9725490679503044	0.08052942	0.547554154
klf11a	-3.9126139373855757	1.19342081	2.17e-07
g6pca.2	-3.9092532632904886	1.193178454	6.18e-27
serbp1a	-3.9068894660839417	0.023427089	0.544048555
serinc1	-3.9065406161829554	0.084245675	0.581487601
rbb4l	-3.9006636654982896	0.081872679	0.587996417
kdm4ab	-3.8764566869464048	1.19080726	1.29e-07
snrpa	-3.8705880837694915	0.088505368	0.545902865
cct4	-3.852926009181316	0.039345917	0.683516159
si:dkey-195m11.8	-3.8519550564282885	0.066462615	0.54114663
mdh2	-3.850643812641126	0.084029022	0.584050391
p4ha1b	-3.835445444233631	1.18782956	3.99e-62
hmga1a	-3.83225642631684	0.011033474	0.745151763
sf3b3	-3.8267213123092048	0.089213526	0.543507061
ywhaz	-3.783128165167449	0.066648733	0.538154901
aco2	-3.7649365933042747	0.09107779	0.540888153
myh9a	-3.7585370089094345	0.04514377	0.672886473
pcxb	-3.755574399724149	0.067581024	0.536939318
cst3	-3.7529765240477	0.034527101	0.695754121
fstl1b	-3.7464071584368845	0.045579857	0.672185139
ccng2	-3.731973637066689	1.180252441	1.01e-16
kbtbd8	-3.718623561647113	1.179268003	1.09e-08
dync1li2	-3.7115232682488877	1.178743789	1.69e-11
evplb	-3.70439467547238	0.094187486	0.539682041
srsf7a	-3.683517013058329	0.063318306	0.635379334
ola1	-3.643011409944534	0.069599352	0.531958783
cyt1l	-3.628177639316773	0.030858167	0.531610696
cbx1a	-3.611603654278996	0.073904325	0.613870652
ifrd1	-3.607102983976711	1.17098186	4.63e-08
pax7a	-3.5965116337560534	1.170167204	4.56e-05
opn1sw2	-3.59351706596407	1.169943952	4.33e-05
top2b	-3.5850325439922766	0.099308239	0.537885454
pik3ip1	-3.5777440584320725	1.168781524	4.47e-10
jupa	-3.5746604518558134	0.069842092	0.528916945
ddx21	-3.5475971658570233	0.061084698	0.642910478
mt-nd3	-3.5437947983816844	1.166227073	7.19e-71
srp54	-3.5322747534322803	0.100452521	0.534211332
ddx39aa	-3.5055971923281932	0.082090328	0.525763447
filip1a	-3.505179140888628	1.163307289	1.97e-06
ctsh	-3.49209100630055	0.069850856	0.625232737
ppiab	-3.480952451438797	0.069679533	0.524713433
zgc:193505	-3.4669137889978594	0.102225435	0.546078719
ssb	-3.4465303307701793	0.089907765	0.581676855
tnnt3b	-3.367479890721448	0.098624109	0.520928035
cipca	-3.3382771618700735	1.150479539	9.82e-05
marcksl1b	-3.3249874186016144	0.040243188	0.517616283
si:dkeyp-69b9.3	-3.310665318242288	1.148382891	5.9e-08
hug	-3.302571400589972	0.100209369	0.560788921
sept15	-3.2999312779253485	0.089716114	0.585950468
pgm1	-3.261348272072263	0.108554682	0.521604464
ror1	-3.2143776310898984	1.140848382	6.18e-06
jmjd6	-3.1962966608919805	1.13942581	2.51e-08
rpl10a	-3.1837236610617015	0.027262466	0.510455661
ampd1	-3.1747287139859752	1.137669668	0.000114063
gngt2b	-3.1736328277124795	1.137614944	4.28e-05
rbm22	-3.1638913397473853	0.092452301	0.583180186
pias4a	-3.1529899893563322	0.107713832	0.546309561
ada	-3.1436425686062	1.135200286	0.000121624
tnw	-3.1410998910823498	0.111935283	0.53299378
copg2	-3.1335993995956706	0.109376712	0.511799328
safb	-3.107885668106193	0.113311662	0.514393678
si:ch211-125o16.4	-3.0926382272313773	0.108328428	0.547160467
ttna	-3.0858955730445246	1.130644609	1.39e-48
cnbpb	-3.0725960388318083	0.072347557	0.505694087
znf395a	-3.046453305316189	1.127474087	1e-75
mat2ab	-3.041005096718579	1.127028805	1.35e-05
psmc5	-3.035524672442469	0.103233983	0.504289844
pabpc1b	-3.020223663263574	0.110505863	0.505115671
csnk2a1	-3.0124662099244315	0.089940234	0.502683435
mbd3a	-3.0034411470283464	0.113568545	0.536179881
naca	-2.9997948777566212	0.019394561	0.743243597
uhrf1	-2.981209324158004	0.055326651	0.666392667
CR753886.1	-2.9611774319381468	1.120516924	9.33e-05
map1lc3b	-2.9534661613683575	0.109571014	0.500966332
map1lc3b	-2.9534661613683575	0.109571014	0.500966332
psmb2	-2.949521591062691	0.098451629	0.575136661
btf3	-2.9392997093425475	0.038762107	0.498609533
kdm5ba	-2.9362209006719757	1.118516652	5.31e-29
chpt1	-2.926967405283885	0.120277157	0.511848306
c3a.1	-2.9046037660162463	0.054736438	0.669179705
puf60a	-2.9039132834546693	0.096214314	0.497414723
PELP1	-2.894079076081081	0.120319217	0.519426482
ncapg	-2.8938628571577127	0.087898581	0.599329291
sec24a	-2.8695367188807923	0.1067218	0.49608028
stt3a	-2.8579121055315753	0.106040976	0.495428789
tomm20	-2.8558259613553085	0.087578578	0.600844502
zgc:136930	-2.8531395595135196	1.111608499	0.000141096
btg2	-2.84075838798618	0.094243955	0.494297987
atic	-2.8262765295485366	0.073255163	0.493620434
cpsf6	-2.796949188838699	0.078555351	0.492168061
slc25a37	-2.7835349043506348	1.10577959	0.000201741
mid1ip1b	-2.783311304101855	1.105820487	5.9e-05
smu1a	-2.7601213586599433	0.124889393	0.512234639
gnat2	-2.7506053919657054	1.103009492	0.00020846
srsf6a	-2.7339921891077403	0.098554182	0.488981847
cars2	-2.719600075016495	1.100476656	4.57e-08
cx43.4	-2.717343373406537	0.034724264	0.715736083
arrdc2	-2.7168655827755854	1.100245053	7.68e-14
mlf2	-2.7161328477539715	0.093331772	0.591703134
tmpoa	-2.700995559498888	0.127289915	0.506906754
atp6v0ca	-2.684496365340473	0.05377987	0.675668201
mpc2	-2.671711867466992	0.103934667	0.56996786
foxk2	-2.6707569956405828	0.115850377	0.543073152
plscr3b	-2.665671853515871	0.100990818	0.485538077
krt91	-2.6567520985913853	0.079897727	0.48505847
gdi1	-2.6429170894755902	0.124501434	0.521832457
rnf24	-2.6383009290143082	1.093546869	3.12e-09
clk4a	-2.631375636721277	1.092952355	1.87e-17
eef1a1l1	-2.6222621234280643	0.037741968	0.001764833
rhoac	-2.602743315124133	0.120931406	0.53299378
nob1	-2.5911221967055638	0.130731388	0.50316496
ldb1a	-2.5848964280894613	0.087839225	0.606158942
ptbp1a	-2.5805959104756266	0.088298243	0.481176188
nfya	-2.5796843642743594	0.131706361	0.493028745
nr2f6a	-2.5605430604036608	0.117390327	0.480669902
reck	-2.5482480501676497	0.129745467	0.51094718
nlk1	-2.5351488676396428	0.13118581	0.506817037
cldne	-2.5298250138596843	0.103378546	0.478573839
kif15	-2.518189467199621	0.133581035	0.497344143
hapln1a	-2.5160559887843927	0.067067417	0.477421626
ncapd2	-2.5072137231757097	0.099260898	0.583848741
lypla2	-2.4798515834540247	0.110521328	0.476033591
celf1	-2.4795489021198924	0.109436915	0.562780069
zgc:171422	-2.4759113412796143	1.07936793	0.000146932
si:dkey-239j18.2	-2.4699295297007504	0.132091791	0.50821976
tsc22d2	-2.4670027078069854	1.078638952	2.41e-11
gtf3c6	-2.4574266959286595	1.07770346	0.0002311
postnb	-2.454769486476358	0.065548873	0.47404816
ndufa10	-2.449401385561637	0.133418951	0.479596954
u2surp	-2.443281361902974	0.106634541	0.569684708
dld	-2.442627075662265	0.115989126	0.474212449
dla	-2.436210939384106	0.093507529	0.473639586
ubr4	-2.418446682797411	0.127541447	0.523223086
zgc:77262	-2.417317067506217	0.122151325	0.473252861
gpd1c	-2.4056573851666037	0.134053011	0.476470324
actb2	-2.4017426532828514	0.054846279	0.003138052
hat1	-2.39260584668624	0.127039218	0.472556658
ndufb2	-2.390855565079995	0.13750045	0.480096936
kpna1	-2.3837606444181487	1.071235559	3.65e-08
ik	-2.37521965068516	0.122603865	0.536422436
fndc3ba	-2.3693187922053456	1.069940064	2.22e-09
zfp36l1b	-2.3559727436519795	1.068739886	8.37e-16
sept6	-2.355348229952291	0.099003287	0.46936258
eif3s10	-2.3397109447535915	0.060606444	0.467433085
ITGB1BP2	-2.3353218274646323	0.136956196	0.500962189
zgc:56585	-2.335100293331364	0.129375147	0.469603887
ctbp1	-2.317938436618354	0.040817279	0.710983214
rtn4a	-2.314375681792733	0.054054356	0.682775934
rrp12	-2.311043163538863	0.078034595	0.63244963
cab39l	-2.309238108102854	0.136997425	0.502432978
nav3	-2.296200580792621	1.063328776	1.04e-06
polr2b	-2.2825012696011133	0.123919333	0.536179881
noc4l	-2.281778852572727	0.139684237	0.495419477
angptl4	-2.281251212330762	1.06196667	1.07e-14
dcn	-2.2659100979932023	0.140499272	0.493708059
rpl22l1	-2.2522518248899934	0.057628349	0.462249739
celsr1b	-2.239156827110868	1.058105525	1.21e-05
zgc:101846	-2.235393950311623	0.061734193	0.668202565
zgc:101846	-2.235393950311623	0.061734193	0.668202565
zgc:101846	-2.235393950311623	0.061734193	0.668202565
rx3	-2.2335049662730464	1.05750286	0.000240399
kpnb1	-2.232293676756002	0.109801089	0.46277465
thoc5	-2.2301758146515276	0.136323772	0.464967718
tpt1	-2.226338042632918	0.074971722	0.000487146
smarcc1a	-2.224857631952076	0.098058039	0.462249739
ranbp9	-2.2026905807061237	0.140843697	0.465453345
lmnb1	-2.2001848120710332	0.04178376	0.711431886
sec23b	-2.1980468916386298	0.122869064	0.540888153
asxl1	-2.180627932521317	0.102198634	0.585076467
prps1a	-2.1665259667749033	0.031957855	0.733424698
cd9b	-2.1632679494484983	0.103578967	0.458907912
ythdf1	-2.1561767931281093	0.107068756	0.57549582
csnk1a1	-2.1530216062804666	0.03693457	0.722919354
nutf2	-2.1527537120929843	0.12716687	0.458772397
itm2ba	-2.1437118961759305	0.120501086	0.458025898
puf60b	-2.142121496408116	0.106944418	0.457770139
bptf	-2.1306858167481315	0.119606045	0.549711018
ybx1	-2.129297796963363	0.014294589	0.773110117
rplp0	-2.1278328146436465	0.084915132	8.67e-06
gskip	-2.1271975341545484	0.114850362	0.457023041
tomm34	-2.122860002275077	1.047289134	1.35e-05
creld2	-2.1163168622368387	1.046625994	0.000150049
pdcd4a	-2.1100267927348915	0.081967153	0.455307122
hbbe3	-2.1091673313764914	0.025607465	0.748568249
nabp1a	-2.1050403669442703	1.045614728	6.69e-07
rplp1	-2.0909335867234313	0.078070257	0.006383336
alas2	-2.0884550153295383	0.143670832	0.494898733
akt2	-2.08811232505085	0.122523364	0.544567358
cnih1	-2.083877416889531	0.124917353	0.454776071
plod3	-2.0836401770281476	0.123595675	0.45472631
mif	-2.080650525400576	1.043296701	3.16e-05
dpf2l	-2.0715096351702957	0.135332434	0.454776071
zgc:56064	-2.070599700613179	0.126266002	0.454066202
dag1	-2.0639511623297895	0.111019343	0.453428017
asph	-2.0597130309953493	0.084874248	0.452499829
sarnp	-2.0574470993391096	0.132874801	0.453678316
ctdsplb	-2.057088447624037	0.12319394	0.453215346
anln	-2.056411608587127	0.136845924	0.454077767
rps27a	-2.0560390936992716	0.082883605	0.005433443
calm3a	-2.0533168901893597	0.135662089	0.516480529
chchd4	-2.0427156012720475	1.039660933	0.000104699
stag1b	-2.042593773318056	0.15088194	0.470182626
taldo1	-2.037811310904624	0.142097604	0.454075128
bckdk	-2.0338422756106085	0.151289817	0.468157369
pds5a	-2.0221986337988587	0.11444564	0.451102423
krt4	-2.012828025216531	0.095859049	2.19e-20
psmd3	-2.0123222899992728	0.088866142	0.616384478
map2k6	-2.0109030163413575	0.134812473	0.451102423
rpl7a	-2.0093083854831066	0.056250175	0.025383568
snd1	-2.004805786960752	0.068064696	0.448252968
rps3	-1.9956394213906368	0.087691679	0.006015755
krt5	-1.9921609593947034	0.097578147	0.000164766
furina	-1.9905439685913051	0.152780762	0.462249739
dnajb11	-1.9904024160688527	1.034670107	1.34e-06
eprs	-1.9888536603457123	0.140603459	0.450530818
rpl13	-1.9858004966069132	0.087429871	0.006762105
rps4x	-1.984599496192013	0.074063047	0.015262384
vps29	-1.982555006541084	0.145384355	0.495377539
si:ch73-39o22.3	-1.982493376486473	1.033705111	0.000607491
krt8	-1.98005006616253	0.097977904	0.000631608
srsf9	-1.9797461656925148	0.152799517	0.459458718
ddt	-1.9769989133265717	0.113443201	0.566412258
histh1l	-1.9767296221739885	1.033348097	4.48e-127
histh1l	-1.9767296221739885	1.033348097	4.48e-127
eef1g	-1.9759187694667242	0.089851703	0.005849379
crkl	-1.975092694649292	0.137735847	0.44925464
vangl2	-1.9747571062347116	0.114549813	0.448386051
hsp90ab1	-1.9721736219647328	0.099782392	9.63e-07
slc25a33	-1.9712823183705366	1.032819944	7.26e-07
marcksl1a	-1.9704977828025367	0.065064117	0.445913677
znf414	-1.9704247138228705	1.032737014	8.75e-11
sart3	-1.9686696172926301	0.146253948	0.493713721
ppiaa	-1.9684151992799315	0.094392253	0.00350099
rplp2	-1.9638556457129184	0.070358725	0.445913677
mt-co1	-1.9579670405406358	0.039429312	0.040159764
arpc4	-1.9576290485588652	0.108832592	0.576408793
atp1b3b	-1.9521898329818146	0.119592797	0.554197076
cdk8	-1.951667740577805	1.030914302	1.26e-10
rps20	-1.950809441331514	0.100616281	0.000751348
rabac1	-1.9478849412588217	0.146715283	0.493453124
rps2	-1.9411026367212836	0.050610966	0.033497937
alox12	-1.9374632091045718	0.147865122	0.490875896
usp28	-1.9356594491818369	1.029353014	1.39e-08
apoeb	-1.9348728023295	0.103363641	3.06e-05
bzw1b	-1.9269376037894324	1.02850016	5.62e-16
fgg	-1.9207878274617414	0.155374616	0.458033708
rps23	-1.9154278344634585	0.100498888	0.002915029
rpl18	-1.9140280688236624	0.088267398	0.01054616
parp1	-1.9103395786571862	0.053944387	0.69173029
arhgap1	-1.9060905093493576	0.154684612	0.471125345
rps15	-1.9056797889562462	0.096507898	0.005937117
prelid1a	-1.8959390318206013	0.096266013	0.603681358
epas1a	-1.894425566165909	0.126860994	0.443938089
plg	-1.8938667058328424	0.113477071	0.56829752
atp5b	-1.8934258187163573	0.026439202	0.751602354
capza1b	-1.888801759325458	0.108019444	0.44323359
rps24	-1.8875782353292498	0.107336102	0.000434078
mylpfa	-1.8865741985331619	0.104802974	0.002020832
myl9b	-1.8864245501061134	0.106845258	0.443060598
pnpla7b	-1.8862486408898043	0.156820262	0.457334014
rps18	-1.884327876117676	0.103234113	0.003105226
rpl11	-1.881675622462068	0.083227221	0.015704312
b3gnt2b	-1.878256496481577	0.138463227	0.443471245
lsm14ab	-1.8758000157628765	0.122265353	0.442761213
itm2bb	-1.8744816111186586	0.126187487	0.542307775
si:dkey-74k8.3	-1.8698043825152335	0.157285532	0.462249739
acin1b	-1.8682962118119053	0.117078471	0.561456794
kctd5a	-1.8643612684085318	0.134088112	0.442386044
rpn1	-1.8639103498428182	0.059276552	0.681433505
chd4b	-1.863715537980747	0.046673923	0.708309199
ved	-1.8614040662657185	1.022007795	0.000106334
egr2b	-1.860653193414354	1.021936556	9.58e-05
si:ch1073-325m22.2	-1.8595171091179608	0.105686313	0.585131023
afp4	-1.8565673230291742	0.111026718	6.18e-05
rpl21	-1.8544385641223187	0.110711733	0.000377102
rpl37	-1.8479109285469457	0.092600331	0.011861436
ndufa8	-1.8449561583119243	0.131267504	0.532323769
mapk14a	-1.84454609920903	0.146263448	0.442386044
s100u	-1.8385141211974707	0.15564772	0.446548215
rps15a	-1.8370263330534913	0.108506239	0.002744287
vps28	-1.835828045133721	0.158589671	0.460430636
ckmt1	-1.8355694636979671	0.08271052	0.438833028
ckmt1	-1.8355694636979671	0.08271052	0.438833028
ndufs3	-1.8353034682762517	0.158606695	0.460430636
rpl6	-1.8344738969473635	0.096612499	0.010182208
fmr1	-1.8286318416552976	0.156459739	0.471560757
pmela	-1.8281400376256327	0.158837448	0.460430636
arhgdia	-1.8240130152412215	0.092035137	0.438681146
si:dkey-79d12.5	-1.8239200066403303	1.018300941	1.3e-05
cd81a	-1.8200964430338926	0.103997061	0.006506074
arpp19a	-1.8173704942025897	0.108450726	0.438973749
si:dkey-202e22.2	-1.8140827275037426	1.017242948	0.000250102
pde6c	-1.8098435372500372	1.016676599	0.000709794
ing4	-1.802273010068678	0.144250962	0.439366941
fam76b	-1.8015781238485815	0.113899079	0.569590162
rps12	-1.8011925171055134	0.094718941	0.013411327
lmx1ba	-1.796321891330197	1.015312038	0.000730887
rpsa	-1.795506613228934	0.117238042	1.81e-07
cand1	-1.7853763705635322	0.102492466	0.436805497
RPL37A	-1.778240205286246	0.117038349	0.001156756
nolc1	-1.7748762688882003	0.120038786	0.436721932
bhmt	-1.774693238706825	0.075215349	0.027646671
usp10	-1.7738549396294376	0.10651873	0.436260124
rps11	-1.771926572151103	0.092142686	0.016859383
cry1ba	-1.7706293947559824	0.129078758	0.43666041
ugp2b	-1.7683597420353325	0.15643034	0.475836066
si:ch211-69g19.2	-1.7678648409985487	0.125389376	0.436415675
slc25a5	-1.765555587153135	0.12026498	1.02e-07
psmc1a	-1.764778255227348	0.140565262	0.436721932
naa50	-1.7623428004932535	0.103314214	0.592201141
mdh1ab	-1.758781893312865	0.157755756	0.440995076
gabpb2b	-1.7528359188962135	1.010948184	0.000624829
ddx42	-1.7499309414003859	0.160444868	0.443408047
eef2b	-1.7489802397271763	0.121949093	4.16e-12
rbm39b	-1.746826745157455	0.098644613	0.602123979
rpl35	-1.744125762194714	0.086313887	0.022350694
si:dkeyp-44a8.2	-1.7441062675519188	0.085847602	0.62852361
hnrpkl	-1.74333857892533	0.151117426	0.436721932
morc2	-1.742044255780149	0.128912619	0.539990639
araf	-1.7412937186235058	0.151997539	0.436805497
mief2	-1.740423761871452	1.009869711	5.28e-09
hes6	-1.739485019331599	0.159490659	0.468167397
emc2	-1.7337477219586588	0.131098326	0.535632089
cyp11a1	-1.729772304905115	0.154329873	0.436721932
ogdha	-1.7220165764055628	0.091242195	0.617888503
rpl28	-1.7190216486088037	0.104779002	0.012244369
b4galt7	-1.7177378575392046	1.007540922	3.14e-05
diabloa	-1.7174745951851795	1.007523015	1.17e-08
ndufb7	-1.7142830969433875	0.162876015	0.44385992
jam3b	-1.7136922809972646	0.061573197	0.679916537
inppl1a	-1.7130340220260414	0.158976974	0.471643137
rpl31	-1.7124459207023124	0.124257085	0.00084366
cry2	-1.6965068152646259	1.005367932	1.24e-07
id3	-1.6920179689652461	0.149498825	0.433017677
cyt1	-1.6905518102389587	0.122728357	0.003087754
cyt1	-1.6905518102389587	0.122728357	0.003087754
cyt1	-1.6905518102389587	0.122728357	0.003087754
cyt1	-1.6905518102389587	0.122728357	0.003087754
slc25a11	-1.6855608956687982	0.157556043	0.434740716
nfe2l3	-1.680361746819548	1.003701354	2.28e-09
emc3	-1.6787273429723697	0.119903178	0.560170176
pabpc1a	-1.6730565149708028	0.069932727	0.037901604
chsy1	-1.662298401029087	1.001804686	8.73e-05
unc45b	-1.6519504240878937	0.117410911	0.429110246
vim	-1.6490320744216493	0.102968265	0.595479931
cldnb	-1.644683203123236	0.147535233	0.502862679
psmb5	-1.6437934505533813	0.079215971	0.644503057
cmip	-1.642160840466509	0.165492014	0.454169123
ddx23	-1.6319487729013553	0.143180485	0.428658056
psen1	-1.627789556752238	0.166335916	0.438833028
rpl14	-1.626480274714167	0.134073467	0.000307193
si:dkey-126g1.9	-1.6213580410417312	0.135922486	0.427731398
mybl2b	-1.6187266575361197	0.132683483	0.535315944
snx6	-1.6156065643485422	0.160948412	0.471643137
aldob	-1.6134852965908815	0.135947364	8.23e-06
pnrc2	-1.6128405996147661	0.135690686	0.000197995
rpl34	-1.6102245628102887	0.135673467	0.000368984
maml3	-1.6079219406648635	0.996126245	6.57e-05
srp72	-1.6019739857004638	0.076628677	0.65082652
syncrip	-1.5997920453393162	0.134876047	0.001479855
palm2	-1.5997525318553423	0.150542953	0.497615204
igf2bp1	-1.59760276122742	0.107275211	0.01838923
prkacaa	-1.596892590215517	0.16778256	0.43775868
trim33	-1.5937149436134312	0.168381161	0.444479427
rfc4	-1.59192063760981	0.168272585	0.438973749
epn2	-1.5911913981583006	0.131595514	0.425734983
rps6	-1.5898427327854092	0.060462284	0.050276766
zgc:158846	-1.5890370966016816	0.993859819	0.001077597
pls3	-1.5826293449668527	0.071673326	0.661613676
mst1	-1.5810601816644538	0.168876837	0.444055789
myo1c	-1.5753470997915149	0.169066981	0.444301618
U11	-1.5736959743448091	0.992525925	3.28e-06
U11	-1.5736959743448091	0.992525925	3.28e-06
ZNF646 (2 of 2)	-1.5722305300828205	0.099807477	0.603689279
fbxo11a	-1.5668642819167427	0.169163913	0.436721932
rrm2b	-1.56644376834021	0.108742863	0.423277967
taf6	-1.5651588514037407	0.166080105	0.430159887
dido1	-1.5633612543153717	0.112193457	0.578629755
tbx2a	-1.5515788768612468	0.990167142	2.2e-05
rpl23	-1.5512359476353215	0.073810962	0.043589579
sepp1a	-1.5502167289079383	0.123499436	0.011392637
banp	-1.5494027835842479	0.989935884	1.8e-05
rps13	-1.5437894500724214	0.143314368	2.06e-05
rps10	-1.5411658520230853	0.086970791	0.035309202
pim1	-1.5398928039283877	0.097187185	0.609787003
si:ch211-156j16.1	-1.5393467296580914	0.144183714	0.422872168
fam168a	-1.5367016567649752	0.128405967	0.422201248
cdc5l	-1.5358671360970055	0.100978961	0.602123979
slc25a22	-1.534025238376973	0.118911319	0.421676019
hnrnpk	-1.532951159154573	0.099782786	0.420496231
cyp26a1	-1.527720421550307	0.987618879	2.46e-10
ctcf	-1.525508201175541	0.129663778	0.421527292
cirh1a	-1.5253531486707081	0.171237339	0.438217711
sf3a3	-1.523268243350343	0.139290814	0.421676019
manf	-1.5176722052281972	0.986531956	2.61e-05
smo	-1.5152451194795509	0.121147243	0.420556402
hmbsb	-1.512500565662465	0.140424409	0.522016538
slc35c2	-1.5112927545989576	0.169588351	0.451897672
zfp36l1a	-1.50806928657512	0.98550358	2.41e-17
xirp2a	-1.5020646888216556	0.984854998	3.94e-07
ppp1r10	-1.4986779961102217	0.984488897	4.95e-09
rpl13a	-1.4912455817675792	0.061263267	0.056823025
apoa2	-1.4897554169800573	0.149164202	2.2e-06
rps5	-1.4888065360995286	0.149270563	2.01e-07
atad2b	-1.4864087760590918	0.172095916	0.43031606
kaznb	-1.486283494018374	0.982836013	0.001226772
usf1l	-1.475096321278618	0.173320984	0.435072401
tubb4b	-1.4741945210859084	0.142552568	0.004832859
wdr3	-1.4663283412052142	0.122041915	0.560898491
pik3r1	-1.461009425063288	0.131536589	0.41743603
rpl27	-1.4590440015366086	0.152508078	1.88e-06
sec61a1	-1.4588449974770041	0.052224137	0.409277343
stm	-1.4504582609646748	0.140184985	0.417038223
raraa	-1.4489729496108716	0.169427444	0.421823936
